"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-05-03","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","720","0"
"2019-05-03","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","540","0"
"2019-05-03","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","800","0"
"2019-05-03","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","3900","0"
"2019-05-03","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-05-03","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","2000","0"
"2019-05-03","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","540","0"
"2019-05-03","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","2880","0"
"2019-05-03","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-05-03","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-05-23","2019-06-20","00:00:00","","05","2880","0"
"2019-05-03","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","480","0"
"2019-05-03","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","540","0"
"2019-05-04","1:Firm","T00100","TBK","J199-37900","J199-37900-EP","O-RING","ES01","1101591195","2019-05-03","2019-05-03","2019-05-31","00:00:00","2019/04/23","05","42","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","540","0"
"2019-05-04","1:Firm","T00100","TBK","J115-21800Z31","J115-21800Z31-EP","IMPELLER","ES01","1101591196","2019-05-03","2019-05-03","2019-05-31","00:00:00","2019/04/23","05","42","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","480","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","5760","0"
"2019-05-04","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101592962","2019-05-03","2019-05-03","2019-05-31","00:00:00","2019/05/23","05","200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","2160","0"
"2019-05-04","1:Firm","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","1101592692","2019-05-03","2019-05-03","2019-05-25","00:00:00","2019/05/23","05","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J113-12500-P10","J113-12500-EP","BEARING UNIT","G-CAR(4N15)","","2019-05-03","2019-05-30","2019-06-27","00:00:00","","05","250","0"
"2019-05-04","1:Firm","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","1101597954","2019-05-03","2019-05-03","2019-05-30","00:00:00","2019/05/30","05","720","0"
"2019-05-04","1:Firm","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","1101592895","2019-05-03","2019-05-03","2019-05-25","00:00:00","2019/05/23","05","270","0"
"2019-05-04","1:Firm","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","1101592898","2019-05-03","2019-05-03","2019-05-25","00:00:00","2019/05/23","05","540","0"
"2019-05-04","1:Firm","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","1101592931","2019-05-03","2019-05-03","2019-05-25","00:00:00","2019/05/23","05","3900","0"
"2019-05-04","1:Firm","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","1101598166","2019-05-03","2019-05-03","2019-05-30","00:00:00","2019/05/30","05","3000","0"
"2019-05-04","1:Firm","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","1101597934","2019-05-03","2019-05-03","2019-05-30","00:00:00","2019/05/30","05","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","2200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","G167-16100-P10","G167-16100-EP","SPRING: anchor","L-200","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","600","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","2160","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","1000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR","GEAR 4JJ1 (EJ28)","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","2400","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","528","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-06-06","2019-07-04","00:00:00","","06","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L127-00200-G10","L127-00200-EP","GEAR CRANKSHAFT","4M4X","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","360","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","2160","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","5760","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-06-13","2019-07-11","00:00:00","","06","528","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR","GEAR 4JJ1 (EJ28)","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","2400","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","528","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","1000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","2160","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-06-20","2019-07-18","00:00:00","","06","810","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-06-27","2019-07-25","00:00:00","","06","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-06-27","2019-07-25","00:00:00","","06","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-06-27","2019-07-25","00:00:00","","06","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-06-27","2019-07-25","00:00:00","","06","480","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-06-27","2019-07-25","00:00:00","","06","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-06-27","2019-07-25","00:00:00","","06","810","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","1000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","864","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L127-00200-G10","L127-00200-EP","GEAR CRANKSHAFT","4M4X","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","360","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20030-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR","GEAR 4JJ1 (EJ28)","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","2400","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L144-00360-P10","L144-00360-EP","STRAINER ASSY","4JA1","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","336","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","875","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","1440","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","384","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-08-07","2019-09-05","00:00:00","","08","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-08-15","2019-09-12","00:00:00","","08","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-08-15","2019-09-12","00:00:00","","08","864","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-08-15","2019-09-12","00:00:00","","08","384","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-08-15","2019-09-12","00:00:00","","08","875","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-08-15","2019-09-12","00:00:00","","08","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-08-15","2019-09-12","00:00:00","","08","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","1000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR","GEAR 4JJ1 (EJ28)","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","2400","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L144-00360-P10","L144-00360-EP","STRAINER ASSY","4JA1","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","336","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","480","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","384","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","864","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","875","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","540","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L127-00200-G10","L127-00200-EP","GEAR CRANKSHAFT","4M4X","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","360","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","1000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-08-22","2019-09-19","00:00:00","","08","800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","810","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-08-29","2019-09-26","00:00:00","","08","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR","GEAR 4JJ1 (EJ28)","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","2400","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-08-29","2019-09-26","00:00:00","","08","875","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-08-29","2019-09-26","00:00:00","","08","384","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-08-29","2019-09-26","00:00:00","","08","864","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-08-29","2019-09-26","00:00:00","","08","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20030-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-07-02","2019-08-01","00:00:00","","07","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-08-29","2019-09-26","00:00:00","","08","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","480","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","864","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","810","0"
"2019-05-04","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","2200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","G167-16100-P10","G167-16100-EP","SPRING: anchor","L-200","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","600","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-07-09","2019-08-08","00:00:00","","07","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J199-20000-P10","J199-20030-EP","PLUG","P700","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","2000","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-01700-P10","L120-01700-EP","GEAR","4JA1OP","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","2880","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-25100-P10","J105-25100-EP","BODY","V1305","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","3900","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L105-17511-P10","L105-17511-EP","CASE","EJ50","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","864","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR","GEAR 4JJ1 (EJ28)","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","2400","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","875","0"
"2019-05-04","2:Daily forecast","T00100","TBK","MD328078V-P10","MD328078-EP","WATER PUMP ASSY","4D56","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","480","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J115-12900-P10","J115-12900-EP","IMPELLER","P772","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898232-6241-P10","898232-6241-EP","OIL PUMP ASSY","4JJ1-EJ28","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J105-19200-P10","J105-19200-EP","BODY","IZ BODY 4JG2T W/P EX.","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","1800","0"
"2019-05-04","2:Daily forecast","T00100","TBK","L124-06201-P10","L124-06201-EP","GEAR HEAD","4JJ1","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","1200","0"
"2019-05-04","2:Daily forecast","T00100","TBK","J123-12100-P10","J123-12100-EP","FLANGE","YM51","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","720","0"
"2019-05-04","2:Daily forecast","T00100","TBK","898145-1531-P10","898145-1531-EP","OIL PUMP ASSY","4JJ1X","","2019-05-03","2019-07-22","2019-08-22","00:00:00","","07","1000","0"
