"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-08-01","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-01","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-01","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-01","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-01","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-01","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-01","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-01","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-01","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-01","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-01","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-01","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-01","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-01","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-02","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-02","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-02","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-02","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-02","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-02","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-02","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-02","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-02","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-02","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-02","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-02","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-02","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-03","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-02","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-03","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-02","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-03","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-03","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-03","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-03","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-02","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-03","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-02","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-03","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-03","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-04","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-04","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-04","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-04","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-02","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-04","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-02","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-04","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-04","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-02","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-04","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-02","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-04","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-02","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-05","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-05","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-05","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-05","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-05","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-05","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-05","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-05","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-05","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-05","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-05","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-05","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-05","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-05","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-05","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-05","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-05","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-05","2019-08-05","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-06","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-06","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-06","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-06","2019-08-06","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-06","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-06","2019-08-06","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-06","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-06","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-06","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-06","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-06","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-06","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-06","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-06","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-06","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-06","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-06","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-06","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-07","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-07","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-07","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-07","2019-08-07","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-07","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-07","2019-08-07","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-07","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-07","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-07","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-07","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-07","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-07","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-07","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-07","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-07","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-07","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-07","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-07","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-08","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-08","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-08","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-08","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-08","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-08","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-08","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-08","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-08","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-08","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-08","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-08","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-08","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-08","2019-08-08","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-08","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-08","2019-08-08","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-08","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-08","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-09","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-09","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-09","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-09","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-09","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-09","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-09","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-09","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-09","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-09","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-09","2019-08-09","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-09","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-09","2019-08-09","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-10","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-09","2019-08-09","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-10","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-09","2019-08-09","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-10","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-10","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-10","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-10","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-09","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-10","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-09","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-10","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-10","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-12","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-09","2019-08-09","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-12","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-09","2019-08-09","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-12","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-12","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-12","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-12","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-09","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-12","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-09","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-12","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-12","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-09","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-13","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-13","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-13","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-13","2019-08-13","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-13","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-13","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-13","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-13","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-13","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-13","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-13","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-13","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-13","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-13","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-13","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-13","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-13","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-13","2019-08-13","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-14","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-14","2019-08-14","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-14","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-14","2019-08-14","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-14","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-14","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-14","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-14","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-14","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-14","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-14","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-14","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-14","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-14","2019-08-14","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-14","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-14","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-14","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-14","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-15","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-15","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-15","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-15","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-15","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-15","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-15","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-15","2019-08-15","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-15","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-15","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-15","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-15","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-15","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-15","2019-08-15","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-15","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-15","2019-08-15","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-15","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-15","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-16","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-16","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-16","2019-08-16","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-16","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-16","2019-08-16","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-16","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-16","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-16","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-16","2019-08-16","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-16","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-16","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-16","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-16","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-17","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-17","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-16","2019-08-16","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-17","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-16","2019-08-16","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-17","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-17","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-17","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-16","2019-08-16","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-17","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-16","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-17","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-17","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-18","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-10-28","2019-12-16","00:00:00","","10","864","0"
"2019-08-18","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-16","2019-08-16","2019-09-23","00:00:00","2019/09/23","08","2000","0"
"2019-08-18","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-16","2019-08-16","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-18","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-13","2019-11-04","00:00:00","","09","864","0"
"2019-08-18","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-23","2019-11-12","00:00:00","","09","864","0"
"2019-08-18","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1913","2019-08-16","2019-08-16","2019-10-02","00:00:00","2019/10/02","08","864","0"
"2019-08-18","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-16","2019-09-27","2019-11-18","00:00:00","","09","2000","0"
"2019-08-18","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-08-19","2019-10-07","00:00:00","","08","864","0"
"2019-08-18","2:Daily forecast","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","","2019-08-16","2019-09-02","2019-10-21","00:00:00","","09","864","0"
"2019-08-19","1:Firm","T10200","TBKA","J123-12600","J123-12600-EP","FLANGE","I-783","TBKK1912","2019-08-19","2019-08-19","2019-09-23","00:00:00","2019/09/23","08","864","0"
"2019-08-19","2:Daily forecast","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","","2019-08-19","2019-08-19","2019-09-30","00:00:00","","08","2000","0"
"2019-08-19","1:Firm","T10200","TBKA","J199-20010","J199-20010-EP","CAP","P7009","TBKK1912","2019-08-19","2019-08-19","2019-09-23","00:00:00","2019/09/23","08","2000","0"
